y;names.y.
43;kurupuMgava
35;ZinipuMgava
24;munipuMgava
16;narapuMgava
10;kSatriyapuMgava
10;rAkSasapuMgava
9;vAnarapuMgava
8;vRSNipuMgava
7;dvijapuMgava
7;yadupuMgava
5;brAhmaNapuMgava
3;rAjapuMgava
2;cedipuMgava
2;hatakSatriyapuMgava
2;rathapuMgava
2;yodhapuMgava
1;AcAryapuMgava
1;bAhlIkapuMgava
1;dEvatapuMgava
1;FsurapuMgava
1;hArdikyaZinipuMgava
1;haripuMgava
1;kurusAtvatapuMgava
1;manujapuMgava
1;RSipuMgava
1;sObhadrakurupuMgava
1;sObhadraZinipuMgava
1;surapuMgava
1;tridaZapuMgava
1;vArSNeyakurupuMgava
1;ZatrupuMgava
1;ZEneyakurupuMgava
