y;names.y.
818;bharatarSabha
288;puruSarSabha
152;nararSabha
66;kSatriyarSabha
60;dvijarSabha
26;brAhmaNarSabha
21;pArthivarSabha
20;manujarSabha
20;pANDavarSabha
10;ivarSabha
10;surarSabha
8;ratharSabha
5;maharSabha
5;vAnararSabha
4;dAnavarSabha
3;kOravarSabha
3;plavagarSabha
2;yAdavarSabha
1;bhUmiparSabha
1;dviparSabha
1;dvIpikhaDgamaharSabha
1;hEhayarSabha
1;patagendradvijarSabha
1;rudrAyarSabha
1;sadvijarSabha
1;sAtvatarSabha
1;vRSarSabha
1;yAjakarSabha
1;yathebhamahiSarSabha
