y;names.y.
188;dvijasattama
148;bharatasattama
101;rAjasattama
74;kurusattama
67;nRpasattama
61;RSisattama
56;munisattama
39;puruSasattama
38;rathasattama
22;surasattama
14;pArthivasattama
12;narasattama
12;nRpatisattama
9;devasattama
8;rAjarSisattama
7;bhRgusattama
7;gandharvasattama
6;brAhmaNasattama
5;buddhisattama
5;pannagasattama
4;brahmarSisattama
4;devarSisattama
3;AcAryasattama
2;adhvaryusattama
2;asurasattama
2;bhAratasattama
2;bhArgavasattama
2;dAnavasattama
2;dEtyasattama
2;dharmajJasattama
2;plavagasattama
2;somapasattama
2;yodhasattama
1;bhujagasattama
1;brahmasattama
1;cAcAryasattama
1;devagandharvasattama
1;devamAnuSasattama
1;drumasattama
1;Fdhvaryusattama
1;gajasattama
1;gatisattama
1;girisattama
1;gRhAyoragasattama
1;gurusattama
1;kavisattama
1;khanakasattama
1;kSatriyarSabhasattama
1;kSitipasattama
1;kurupANDavasattama
1;kururAjarSisattama
1;lokasattama
1;mantrisattama
1;manujAdhipasattama
1;matsyabhAratasattama
1;mEthilasattama
1;mRgasattama
1;nRsattama
1;pAJcAlasattama
1;pakSisattama
1;pArthivarSabhasattama
1;purusattama
1;rAkSasasattama
1;sindhusattama
1;tarusattama
1;vAraNasattama
1;vibudhasattama
1;viprarSisattama
1;viprasattama
1;yantRsattama
1;yatisattama
