y;names.y.
171;dvijottama
107;puruSottama
68;narottama
43;rathottama
40;hayottama
36;nRpottama
29;cottama
21;surottama
14;pannagottama
14;Zarottama
12;bhujagottama
12;purottama
10;dvijavarottama
10;pArthivottama
10;parvatottama
10;sAyakottama
8;turagottama
7;tilottama
6;amarottama
6;ivottama
6;khagottama
6;nagottama
6;rAkSasottama
5;brAhmaNottama
5;gajottama
4;asurottama
4;mAdhavottama
4;syandanottama
4;tathottama
3;kAnanottama
3;Zayanottama
2;acalottama
2;dAnavottama
2;gaNottama
2;kanakottama
2;manujottama
2;naravarottama
2;patagottama
2;praharaNottama
2;rathavarottama
2;tavottama
2;vArijottama
2;vibudhottama
2;vihagottama
1;adhamottama
1;apsarottama
1;asyAyudhottama
1;bharatottama
1;bhavanottama
1;bhujottama
1;brahmasarottama
1;cAcalottama
1;cAmbarottama
1;cAmbujottama
1;carottama
1;channenottama
1;dhanuHZaravarottama
1;dharottama
1;dhvajottama
1;dRSTvAsurottama
1;dvipottama
1;evAcarottama
1;gOtamAyottama
1;govRSottama
1;hastyaGgottama
1;kalaZottama
1;khecarottama
1;kuJjarottama
1;kuruvRSNyandhakottama
1;mamottama
1;mRgottama
1;munivarottama
1;nagarottama
1;narAZvadviradottama
1;niSasAdAsanottama
1;pAdapottama
1;pAJcAlyasyottama
1;pANDavottama
1;parivAryAyudhottama
1;pramadottama
1;rathenottama
1;saMgrAmottama
1;sarvadevottama
1;sottama
1;suravarottama
1;sutottama
1;svapurottama
1;uragottama
1;vajreNevAcalottama
1;vAraNottama
1;vyAsenottama
1;yugottama
