V1;freq
rathinAM;74
dharmabhRtAM;60
vadatAM;59
sarvaZastrabhRtAM;44
balinAM;33
jayatAM;31
praharatAM;30
ZastrabhRtAM;27
dvipadAM;16
buddhimatAM;15
matimatAM;15
japatAM;14
brahmavidAM;12
saritAM;11
sarvadharmabhRtAM;9
tapatAM;9
astravidAM;7
balavatAM;7
dadatAM;7
patatAM;6
sarvavedavidAM;6
vedavidAM;6
yoSitAM;5
yudhAM;5
dhImatAM;4
gatimatAM;4
putravatAM;4
sarvabuddhimatAM;4
aGgirasAM;3
astrabhRtAM;3
pravadatAM;3
sarvadharmavidAM;3
sarvaprANabhRtAM;3
sarvAstraviduSAM;3
viduSAM;3
ZaktimatAM;3
ZikhariNAM;3
ZrImatAM;3
cAstrabhRtAM;2
dehabhRtAM;2
dhanuSAM;2
dhanvinAM;2
FGgirasAM;2
javatAM;2
jJAnavatAM;2
ketumatAM;2
nipatatAM;2
prANabhRtAM;2
praZnavidAM;2
sattvavatAM;2
sAtvatAM;2
satyavatAM;2
bhiSajAM;1
bhRtyavatAM;1
cArthavidAM;1
cAsyatAM;1
chastrabhRtAM;1
dharmavidAM;1
dIyatAM;1
evApsarasAM;1
FstravidAM;1
FstraviduSAM;1
gadinAM;1
gavAM;1
guNavatAM;1
kAlavidAM;1
khaDgabhRtAM;1
kSamiNAM;1
lakSmIvatAM;1
lokavidAM;1
nAthavatAM;1
nRNAM;1
paZumatAM;1
puNyakRtAM;1
raNakRtAM;1
raZmivatAM;1
sarvakAmadughAM;1
sarvasattvabhRtAM;1
sarvavidAM;1
satAM;1
satyabhRtAM;1
sparZavatAM;1
suhRdAM;1
sukRtinAM;1
tasthuSAM;1
tattvavidAM;1
tejasvinAM;1
uttamAstravidAM;1
uvAcAGgirasAM;1
vAkyavidAM;1
vaMZabhRtAM;1
varSatAM;1
yogavidAM;1
ZilpavatAM;1
