y;names.y.
219;bharataZreSTha
107;naraZreSTha
89;kuruZreSTha
77;dvijaZreSTha
24;pANDavaZreSTha
23;nRpaZreSTha
18;dhanuHZreSTha
16;rathaZreSTha
15;muniZreSTha
13;kOravaZreSTha
10;suraZreSTha
10;vibudhaZreSTha
9;kurukulaZreSTha
8;brAhmaNaZreSTha
8;hayaZreSTha
8;kratuZreSTha
8;nRpatiZreSTha
8;pArthivaZreSTha
8;RSiZreSTha
8;yaduZreSTha
7;parvataZreSTha
6;giriZreSTha
6;puruSaZreSTha
6;rAkSasaZreSTha
5;manujaZreSTha
5;pannagaZreSTha
4;bhRguZreSTha
4;kuruvaraZreSTha
4;yAdavaZreSTha
3;amaraZreSTha
3;dEvataZreSTha
3;kSatriyaZreSTha
3;mAnavaZreSTha
3;sAtvataZreSTha
2;acalaZreSTha
2;asuraZreSTha
2;bhRgukulaZreSTha
2;bhujagaZreSTha
2;girivaraZreSTha
2;kapiZreSTha
2;kArmukaZreSTha
2;patagaZreSTha
2;puraZreSTha
2;rathavaraZreSTha
2;tridaZaZreSTha
1;abhigamyAmaraZreSTha
1;AhavaZreSTha
1;AnayasvAmaraZreSTha
1;balaZreSTha
1;bhAratarathaZreSTha
1;bhArgavaZreSTha
1;bhavanaZreSTha
1;bhuvanaZreSTha
1;cAmantryoragaZreSTha
1;dAnavaZreSTha
1;devatAZreSTha
1;ditijaZreSTha
1;dvipaZreSTha
1;dviradaZreSTha
1;ekAntikaZreSTha
1;FcalaZreSTha
1;FsuraZreSTha
1;FvatIryAcalaZreSTha
1;gajAGkuZadharaZreSTha
1;guNaZreSTha
1;hariZreSTha
1;hEhayaZreSTha
1;khagaZreSTha
1;kurubalaZreSTha
1;kurupatiZreSTha
1;mahIdharaZreSTha
1;makhaZreSTha
1;mRgaZreSTha
1;nagaraZreSTha
1;naravaraZreSTha
1;plavagaZreSTha
1;pOravaZreSTha
1;suragaNaZreSTha
1;svayaMZreSTha
1;taruZreSTha
1;tribhuvanaZreSTha
1;tumburuZreSTha
1;vRSNikulaZreSTha
1;vRSNyandhakaZreSTha
1;yadukulaZreSTha
1;yudhiZreSTha
1;ZaraZreSTha
