"";"wo";"wID";"freq";"as";"es";"sz";"exz";"laff1";"laff2"
"39515";"cEva";39510;2087;7;8;2;0;0,01;0,02
"144810";"rAjan";144807;1875;7;8;2;0;0,03;0,07
"144544";"rAjA";144543;803;7;8;2;0;0,1;0,17
"164556";"sarve";164554;784;7;8;2;0;0,09;0,13
"54512";"dRSTvA";54510;762;7;8;2;0;0,06;0,09
"181505";"tatra";181500;646;7;8;2;0;0,01;0,02
"180437";"tAta";180436;546;7;8;2;0;0,03;0,04
"36824";"cApi";36820;523;7;8;2;0;0,01;0,02
"15650";"Asa";15649;499;7;8;2;0;0,06;0,1
"90797";"kRtvA";90795;433;7;8;2;0;0,04;0,08
"180008";"tasya";179998;414;7;8;2;46,72;0,04;0,07
"224954";"ZrutvA";224952;413;7;8;2;0;0,25;0,47
"117728";"nityaM";117727;399;7;8;2;0;0,02;0,04
"163552";"sarvaM";163546;378;7;8;2;0;0,21;0,28
"96692";"loke";96690;332;7;8;2;0;0,06;0,09
"163634";"sarvAn";163632;306;7;8;2;0;0,19;0,22
"83484";"karma";83480;298;7;8;2;0;0,08;0,15
"185611";"tUrNaM";185610;294;7;8;2;0;0,1;0,16
"215868";"yuddhe";215866;292;7;8;2;0;0,07;0,11
"144871";"rAjann";144869;286;7;8;2;0;0,05;0,08
"110155";"nAma";110153;262;7;8;2;0;0,02;0,04
"192898";"vAkyaM";192897;258;7;8;2;0;0,18;0,29
"59225";"eva";59219;253;7;8;2;69,22;0,21;0,24
"157361";"saMkhye";157358;244;7;8;2;0;0,03;0,05
"126100";"pArtha";126092;229;7;8;2;0;0,03;0,06
"215757";"yuddhaM";215756;218;7;8;2;0;0,21;0,33
"32130";"bhUtvA";32128;215;7;8;2;0;0,07;0,13
"144790";"rAjaMs";144788;215;7;8;2;0;0,05;0,09
"182729";"tena";182724;198;7;8;2;30,77;0,06;0,08
"143092";"pUrvaM";143088;190;7;8;2;0;0,09;0,13
"204058";"vIra";204050;188;7;8;2;0;0,07;0,1
"66597";"ghoraM";66591;182;7;8;2;0;0,05;0,09
"135280";"prApya";135277;179;7;8;2;0;0,03;0,07
"25700";"bANEr";25699;171;7;8;2;0;0,2;0,37
"182956";"teSAM";182954;170;7;8;2;49,55;0,03;0,05
"32958";"brahman";32955;169;7;8;2;0;0,05;0,09
"91042";"kruddho";91039;165;7;8;2;0;0,15;0,25
"89569";"kRSNa";89560;161;7;8;2;0;0,05;0,08
"162417";"sArdhaM";162416;161;7;8;2;0;0,12;0,2
"102699";"manye";102697;159;7;8;2;0;0,31;0,4
"50595";"dhImAn";50595;151;7;8;2;0;0,07;0,11
"144701";"rAjaJ";144700;149;7;8;2;0;0,05;0,09
"66081";"gatvA";66080;148;7;8;2;0;0,06;0,11
"177449";"tadA";177444;141;7;8;2;90,64;0,3;0,43
"35526";"cakre";35524;134;7;8;2;0;0,09;0,14
"59441";"evaM";59440;131;7;8;2;85,15;0,19;0,27
"167105";"sEnyaM";167104;129;7;8;2;0;0,33;0,47
"90941";"kruddhaH";90939;127;7;8;2;0;0,18;0,28
"84655";"kAryaM";84654;126;7;8;2;0;0,11;0,22
"96363";"lokAn";96361;122;7;8;2;0;0,05;0,09
"145416";"rAjendra";145415;548;6;8;3;0;0,12;0,16
"154683";"samare";154682;358;6;8;3;17,89;0,11;0,22
"87802";"kOnteya";87800;261;6;8;3;0;0,09;0,18
"15731";"AsAdya";15729;236;6;8;3;0;0,03;0,05
"156572";"saMgrAme";156572;234;6;8;3;0;0,04;0,08
"26063";"bhagavAn";26064;210;6;8;3;0;0,15;0,27
"49680";"dharmAtmA";49680;198;6;8;3;0;0,16;0,25
"16959";"AsthAya";16957;184;6;8;3;0;0,21;0,27
"144828";"rAjAnaM";144828;181;6;8;3;0;0,15;0,3
"2767";"AdAya";2765;172;6;8;3;0;0,38;0,49
"31941";"bhUtAni";31940;166;6;8;3;0;0,11;0,2
"88092";"kOravya";88091;160;6;8;3;0;0,12;0,17
"164606";"sarveSAM";164607;139;6;8;3;0;0,21;0,29
"31934";"bhUtAnAM";31935;128;6;8;3;0;0,12;0,2
