"";"met";"sz";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"total"
"1";"x";1;7559;2684;4439;4202;8916;550;56;8376;4083;1386;1736;4574;6770;0;1138;6140;62609
"2";"o";1;10445;2484;5609;3752;566;4967;1887;7126;7048;2034;4935;3733;25;3024;0;2164;59799
"3";"oo";2;18956;3400;11182;2098;1;4008;41875;0;20724;2576;11713;10;0;0;0;0;116543
"4";"xo";2;15015;1873;2026;6;16207;3;1387;0;12579;1338;8;1;9438;0;14372;0;74253
"5";"ox";2;7003;1612;2610;5218;304;2;10793;0;5603;657;4514;5434;0;1619;0;0;45369
"6";"xx";2;3179;0;944;3458;354;96;115;0;3467;0;1645;4830;1;0;20362;0;38451
"7";"oxo";3;8915;642;2;9142;228;39;0;0;11667;3;6;5384;0;10482;0;0;46510
"8";"xxo";3;5429;1;2;9615;3;5344;0;0;7697;0;11;7338;0;0;0;0;35440
"9";"ooo";3;6886;431;21;1;2;13427;0;0;8788;395;32;0;0;0;0;0;29983
"10";"oox";3;4013;324;3798;92;0;9317;0;0;3648;312;5146;0;0;0;0;0;26650
"11";"xoo";3;6555;831;1912;4;3032;24;0;0;8248;523;0;0;0;0;0;0;21129
"12";"oxx";3;0;190;961;100;13;18;0;0;2;226;1678;0;0;16416;0;0;19604
"13";"xox";3;4116;660;866;0;0;11;0;0;2804;449;5;0;2554;0;0;0;11465
"14";"xxx";3;0;0;698;2;17;344;0;0;1;0;1283;0;0;0;0;0;2345
"15";"xoxx";4;683;106;31;0;3;0;0;0;747;130;0;0;23288;0;0;0;24988
"16";"oxoo";4;5825;823;0;2419;1173;0;0;0;8733;0;0;0;0;0;0;0;18973
"17";"xoxo";4;2790;0;1215;0;16;0;0;0;16;0;5;0;12937;0;0;0;16979
"18";"xooo";4;2123;1;0;0;11469;0;0;0;2825;0;0;0;0;0;0;0;16418
"19";"xoox";4;1095;363;58;0;6934;0;0;0;1713;376;0;0;0;0;0;0;10539
"20";"xxoo";4;3030;0;0;1264;37;0;0;0;3916;0;0;0;0;0;0;0;8247
"21";"ooxo";4;2020;0;3035;1;1;0;0;0;3;0;2568;0;0;0;0;0;7628
"22";"oxxo";4;5;0;2708;1;806;0;0;0;0;0;2527;0;0;0;0;0;6047
"23";"oxox";4;1821;130;0;1;243;0;0;0;2916;1;0;605;0;0;0;0;5717
"24";"oooo";4;2352;2;0;10;3;0;0;0;2616;0;0;0;0;0;0;0;4983
"25";"xxxo";4;0;0;1728;0;1447;0;0;0;0;0;1279;0;0;0;0;0;4454
"26";"xxox";4;1112;0;0;0;2;0;0;0;1644;0;0;1050;0;0;0;0;3808
"27";"ooox";4;796;77;0;0;3;0;0;0;1281;92;0;0;0;0;0;0;2249
"28";"ooxx";4;512;57;54;0;0;0;0;0;508;86;0;0;1;0;0;0;1218
"29";"oxxx";4;0;123;0;9;92;0;0;0;1;85;0;0;0;0;0;0;310
"30";"xxxx";4;0;0;1;0;87;0;0;0;0;0;0;0;0;0;0;0;88
"31";"xxoxx";5;136;0;0;0;0;0;0;0;145;0;0;7794;0;0;0;0;8075
"32";"oxoxx";5;363;3;0;0;0;0;0;0;395;0;0;5527;0;0;0;0;6288
"33";"oxoox";5;1243;16;0;2376;0;0;0;0;1924;0;0;0;0;0;0;0;5559
"34";"xxoxo";5;1;0;0;0;0;0;0;0;0;0;0;4210;0;0;0;0;4211
"35";"xxoox";5;833;0;0;2111;0;0;0;0;1113;0;0;0;0;0;0;0;4057
"36";"oxoxo";5;1;68;0;9;0;0;0;0;1;0;0;3607;0;0;0;0;3686
"37";"oxooo";5;5;0;0;3450;0;0;0;0;8;0;0;0;0;0;0;0;3463
"38";"xxooo";5;4;0;0;2702;0;0;0;0;3;0;0;0;0;0;0;0;2709
"39";"ooxoo";5;1226;0;453;5;0;0;0;0;0;0;0;0;0;0;0;0;1684
"40";"xoxoo";5;1488;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;1603
"41";"oooox";5;616;1;0;8;0;0;0;0;721;0;0;0;0;0;0;0;1346
"42";"xooox";5;463;0;0;0;0;0;0;0;551;0;0;0;0;0;0;0;1014
"43";"oxxxo";5;0;188;0;604;0;0;0;0;0;71;0;0;0;0;0;0;863
"44";"ooxox";5;438;0;0;3;0;0;0;0;0;0;243;0;0;0;0;0;684
"45";"xoxox";5;551;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;557
"46";"ooxxx";5;199;0;3;15;0;0;0;0;240;0;0;0;0;0;0;0;457
"47";"xoxxx";5;202;0;0;0;0;0;0;0;163;0;0;0;0;0;0;0;365
"48";"oxxoo";5;1;0;342;0;0;0;0;0;0;0;0;0;0;0;0;0;343
"49";"ooxxo";5;2;117;0;127;0;0;0;0;0;70;0;0;0;0;0;0;316
"50";"oxxox";5;0;0;0;0;0;0;0;0;0;0;261;0;0;0;0;0;261
"51";"oooxx";5;75;4;0;0;0;0;0;0;149;0;0;0;0;0;0;0;228
"52";"xooxx";5;92;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;212
"53";"xxxoo";5;1;0;203;0;0;0;0;0;0;0;0;0;0;0;0;0;204
"54";"xoxxo";5;1;123;0;0;0;0;0;0;0;57;0;0;0;0;0;0;181
"55";"xooxo";5;0;109;2;0;0;0;0;0;0;41;0;0;0;0;0;0;152
"56";"xxxox";5;1;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;127
"57";"oooxo";5;0;83;1;0;0;0;0;0;0;22;0;0;0;0;0;0;106
"58";"oxoxxo";6;858;0;0;0;0;0;0;0;883;0;0;0;0;0;0;0;1741
"59";"oxxoxx";6;0;0;0;0;0;0;0;0;0;0;1418;0;0;0;0;0;1418
"60";"ooxxxo";6;612;0;257;0;0;0;0;0;529;0;0;0;0;0;0;0;1398
"61";"xxxoxx";6;0;0;0;0;0;0;0;0;0;0;1143;0;0;0;0;0;1143
"62";"ooxoxx";6;4;0;0;0;0;0;0;0;0;0;1123;0;0;0;0;0;1127
"63";"oxooxo";6;617;1;0;0;0;0;0;0;469;0;0;0;0;0;0;0;1087
"64";"xoxxxo";6;540;0;111;0;0;0;0;0;427;0;0;0;0;0;0;0;1078
"65";"ooxoxo";6;245;0;0;0;0;0;0;0;0;0;753;0;0;0;0;0;998
"66";"oxxoxo";6;0;0;0;0;0;0;0;0;0;0;996;0;0;0;0;0;996
"67";"oooxxo";6;404;0;2;0;0;0;0;0;392;0;0;0;0;0;0;0;798
"68";"oxxooo";6;0;0;762;0;0;0;0;0;0;0;0;0;0;0;0;0;762
"69";"xooxxo";6;360;0;77;0;0;0;0;0;315;0;0;0;0;0;0;0;752
"70";"ooxooo";6;0;0;735;0;0;0;0;0;0;0;0;0;0;0;0;0;735
"71";"xxooxo";6;396;0;0;0;0;0;0;0;283;0;0;0;0;0;0;0;679
"72";"ooxoox";6;52;0;589;0;0;0;0;0;0;0;0;0;0;0;0;0;641
"73";"xxxoxo";6;0;0;0;0;0;0;0;0;0;0;637;0;0;0;0;0;637
"74";"xxoxxo";6;294;0;0;0;0;0;0;0;272;0;0;0;0;0;0;0;566
"75";"ooooxo";6;251;0;0;0;0;0;0;0;276;0;0;0;0;0;0;0;527
"76";"xxxooo";6;0;0;517;0;0;0;0;0;0;0;0;0;0;0;0;0;517
"77";"xoooxo";6;251;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;451
"78";"oxxoox";6;0;0;440;0;0;0;0;0;0;0;0;0;0;0;0;0;440
"79";"xxxoox";6;0;0;342;0;0;0;0;0;0;0;0;0;0;0;0;0;342
"80";"xoxoox";6;58;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;287
