"";"met";"sz";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"total"
"1";"x";1;12,1;4,3;7,1;6,7;14,2;0,9;0,1;13,4;6,5;2,2;2,8;7,3;10,8;0;1,8;9,8;62609
"2";"o";1;17,5;4,2;9,4;6,3;0,9;8,3;3,2;11,9;11,8;3,4;8,3;6,2;0;5,1;0;3,6;59799
"3";"oo";2;16,3;2,9;9,6;1,8;0;3,4;35,9;0;17,8;2,2;10,1;0;0;0;0;0;116543
"4";"xo";2;20,2;2,5;2,7;0;21,8;0;1,9;0;16,9;1,8;0;0;12,7;0;19,4;0;74253
"5";"ox";2;15,4;3,6;5,8;11,5;0,7;0;23,8;0;12,3;1,4;9,9;12;0;3,6;0;0;45369
"6";"xx";2;8,3;0;2,5;9;0,9;0,2;0,3;0;9;0;4,3;12,6;0;0;53;0;38451
"7";"oxo";3;19,2;1,4;0;19,7;0,5;0,1;0;0;25,1;0;0;11,6;0;22,5;0;0;46510
"8";"xxo";3;15,3;0;0;27,1;0;15,1;0;0;21,7;0;0;20,7;0;0;0;0;35440
"9";"ooo";3;23;1,4;0,1;0;0;44,8;0;0;29,3;1,3;0,1;0;0;0;0;0;29983
"10";"oox";3;15,1;1,2;14,3;0,3;0;35;0;0;13,7;1,2;19,3;0;0;0;0;0;26650
"11";"xoo";3;31;3,9;9;0;14,3;0,1;0;0;39;2,5;0;0;0;0;0;0;21129
"12";"oxx";3;0;1;4,9;0,5;0,1;0,1;0;0;0;1,2;8,6;0;0;83,7;0;0;19604
"13";"xox";3;35,9;5,8;7,6;0;0;0,1;0;0;24,5;3,9;0;0;22,3;0;0;0;11465
"14";"xxx";3;0;0;29,8;0,1;0,7;14,7;0;0;0;0;54,7;0;0;0;0;0;2345
"15";"xoxx";4;2,7;0,4;0,1;0;0;0;0;0;3;0,5;0;0;93,2;0;0;0;24988
"16";"oxoo";4;30,7;4,3;0;12,7;6,2;0;0;0;46;0;0;0;0;0;0;0;18973
"17";"xoxo";4;16,4;0;7,2;0;0,1;0;0;0;0,1;0;0;0;76,2;0;0;0;16979
"18";"xooo";4;12,9;0;0;0;69,9;0;0;0;17,2;0;0;0;0;0;0;0;16418
"19";"xoox";4;10,4;3,4;0,6;0;65,8;0;0;0;16,3;3,6;0;0;0;0;0;0;10539
"20";"xxoo";4;36,7;0;0;15,3;0,4;0;0;0;47,5;0;0;0;0;0;0;0;8247
"21";"ooxo";4;26,5;0;39,8;0;0;0;0;0;0;0;33,7;0;0;0;0;0;7628
"22";"oxxo";4;0,1;0;44,8;0;13,3;0;0;0;0;0;41,8;0;0;0;0;0;6047
"23";"oxox";4;31,9;2,3;0;0;4,3;0;0;0;51;0;0;10,6;0;0;0;0;5717
"24";"oooo";4;47,2;0;0;0,2;0,1;0;0;0;52,5;0;0;0;0;0;0;0;4983
"25";"xxxo";4;0;0;38,8;0;32,5;0;0;0;0;0;28,7;0;0;0;0;0;4454
"26";"xxox";4;29,2;0;0;0;0,1;0;0;0;43,2;0;0;27,6;0;0;0;0;3808
"27";"ooox";4;35,4;3,4;0;0;0,1;0;0;0;57;4,1;0;0;0;0;0;0;2249
"28";"ooxx";4;42;4,7;4,4;0;0;0;0;0;41,7;7,1;0;0;0,1;0;0;0;1218
"29";"oxxx";4;0;39,7;0;2,9;29,7;0;0;0;0,3;27,4;0;0;0;0;0;0;310
"30";"xxxx";4;0;0;1,1;0;98,9;0;0;0;0;0;0;0;0;0;0;0;88
"31";"xxoxx";5;1,7;0;0;0;0;0;0;0;1,8;0;0;96,5;0;0;0;0;8075
"32";"oxoxx";5;5,8;0;0;0;0;0;0;0;6,3;0;0;87,9;0;0;0;0;6288
"33";"oxoox";5;22,4;0,3;0;42,7;0;0;0;0;34,6;0;0;0;0;0;0;0;5559
"34";"xxoxo";5;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;4211
"35";"xxoox";5;20,5;0;0;52;0;0;0;0;27,4;0;0;0;0;0;0;0;4057
"36";"oxoxo";5;0;1,8;0;0,2;0;0;0;0;0;0;0;97,9;0;0;0;0;3686
"37";"oxooo";5;0,1;0;0;99,6;0;0;0;0;0,2;0;0;0;0;0;0;0;3463
"38";"xxooo";5;0,1;0;0;99,7;0;0;0;0;0,1;0;0;0;0;0;0;0;2709
"39";"ooxoo";5;72,8;0;26,9;0,3;0;0;0;0;0;0;0;0;0;0;0;0;1684
"40";"xoxoo";5;92,8;0;7,2;0;0;0;0;0;0;0;0;0;0;0;0;0;1603
"41";"oooox";5;45,8;0,1;0;0,6;0;0;0;0;53,6;0;0;0;0;0;0;0;1346
"42";"xooox";5;45,7;0;0;0;0;0;0;0;54,3;0;0;0;0;0;0;0;1014
"43";"oxxxo";5;0;21,8;0;70;0;0;0;0;0;8,2;0;0;0;0;0;0;863
"44";"ooxox";5;64;0;0;0,4;0;0;0;0;0;0;35,5;0;0;0;0;0;684
"45";"xoxox";5;98,9;0;0,2;0;0;0;0;0;0,9;0;0;0;0;0;0;0;557
"46";"ooxxx";5;43,5;0;0,7;3,3;0;0;0;0;52,5;0;0;0;0;0;0;0;457
"47";"xoxxx";5;55,3;0;0;0;0;0;0;0;44,7;0;0;0;0;0;0;0;365
"48";"oxxoo";5;0,3;0;99,7;0;0;0;0;0;0;0;0;0;0;0;0;0;343
"49";"ooxxo";5;0,6;37;0;40,2;0;0;0;0;0;22,2;0;0;0;0;0;0;316
"50";"oxxox";5;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;261
"51";"oooxx";5;32,9;1,8;0;0;0;0;0;0;65,4;0;0;0;0;0;0;0;228
